ticker,return,volatility,volume,cluster,cluster_proba
CHRW,0.0004749083302771604,0.01221101525499061,1585096.2528271405,2,0.9850793452197639
CHTR,0.0012772879469465385,0.01608212849084486,1565620.1252019387,2,0.5675744556699194
CI,0.0010566308835787662,0.01397055707563972,1629004.7084006462,2,0.933628583892395
CINF,0.00041126294865424486,0.009670612539022417,597158.957996769,2,0.9881065447745441
CL,0.00020724911323127392,0.00949183461880288,3290770.760904685,2,0.8998161773811367
CLX,0.00038256863092428733,0.009172113584760961,977637.1235864297,2,0.9900295480167925
CMA,0.0008839042120392631,0.0149534245147016,1919933.1066235865,2,0.9074272855422856
CMCSA,0.0006149600761770102,0.011645284872810309,24224882.24151858,3,0.9999999998869695
CME,0.0008331920343546504,0.011732460231822313,1604392.9911147011,2,0.9851637885808162
CMG,5.38630051143765e-05,0.017766576219321716,826790.8424878836,0,0.752530959086309
CMI,0.0004037222061630669,0.013807279037184934,1632269.5662358643,2,0.9705514918703436
CMS,0.0004077575147140665,0.009884445708032687,2349721.675282714,2,0.9815859800315629
CNC,0.0014101043819242215,0.019268615992347863,1584254.8182552503,0,0.9603625726981849
